id,naziv,opis,cijena,kolicina,id_kategorija,id_dobavljac
276,Priručnik 'Osnove programiranja',"""Uvod u Python i C++, 420 str.""",19.74,218,13,28
277,Atlas svijeta ilustrirani,"""Ilustrirani atlas A3, 312 str.""",22.63,101,13,28
278,Zbirka poezije 'Balade P. K.',"""Miroslav Krleža, 160 str., meki uvez""",7.29,282,13,28
279,Strip 'Alan Ford' #1,"""Prvo izdanje, 128 str.""",4.56,251,13,28
280,Enciklopedija biljaka,"""Velika enciklopedija vrtnih biljaka, 720 str.""",33.42,29,13,28
281,Majica pamučna L,"""Muška pamučna majica, bijela, veličina L""",5.37,187,14,30
282,Traperice muške 32/32,"""Regular-fit traperice, veličina 32/32""",29.82,74,14,30
283,Jakna softshell M,"""Softshell jakna otporna na vjetar, veličina M""",49.63,52,14,30
284,Haljina cvjetna S,"""Lagana ljetna haljina s cvjetnim uzorkom, veličina S""",26.14,68,14,30
285,Čarape sportske 3/1,"""Set od 3 para sportskih čarapa 39-42""",3.28,236,14,30
286,Cipele kožne br.42,"""Muške kožne cipele, veličina 42, smeđe""",71.48,27,14,30
287,Duks s kapuljačom XL,"""Pamučni duks s kapuljačom, crni, XL""",32.29,61,14,30
288,Kapa pletena unisex,"""Pletena zimska kapa, tamnosiva""",6.17,149,14,30
289,Ruksak platneni 18l,"""Platneni gradski ruksak kapaciteta 18 l""",13.74,82,14,30
290,Papuče kućne br.39,"""Mekane kućne papuče, veličina 39, plave""",7.49,109,14,30
291,Stol blagovaonski 120x80,"""Blagovaonski stol od bukve 120 × 80 cm""",142.63,64,15,32
292,Stolica sklopiva drvena,"""Sklopiva stolica od bukve, natur lak""",26.87,132,15,32
293,Komoda 3 ladice bijela,"""Komoda MDF s tri ladice 80 × 40 × 75 cm""",119.54,177,15,32
294,Polica zidna 60cm,"""Zidna polica MDF dužine 60 cm, bijela""",17.26,171,15,32
295,Ormar garderobni 180x80,"""Ormar 180 × 80 × 52 cm, dva krila""",259.84,196,15,32
296,Tabure baršunasti okrugli,"""Okrugli tabure Ø 35 cm, plavi baršun""",32.56,148,15,32
297,Klupa vrtna metalna,"""Metalna vrtna klupa dužine 120 cm""",108.43,83,15,32
298,Noćni ormarić hrast,"""Noćni ormarić boje hrasta, ladica + polica""",42.79,172,15,32
299,Krevet 160x200 s letvicama,"""Okvir kreveta 160 × 200 cm + podnice""",312.67,119,15,32
300,Stolić za kavu 90x50,"""Stolić za kavu 90 × 50 cm, drvo/metal""",56.48,213,15,32
301,Ruž za usne mat 05,"""Mat ruž za usne, nijansa 05, dugotrajna formula 4 g""",7.42,143,16,34
302,Sjajilo za usne prozirno,"""Sjajilo s hijaluronskim učinkom, 7 ml""",4.36,198,16,34
303,Puder kompaktni SPF15 10g,"""Kompaktni puder SPF 15, nijansa 02""",8.71,97,16,34
304,Maskara volumen crna,"""Volumenska maskara otporna na razmazivanje, 10 ml""",6.58,176,16,34
305,Paleta sjenila nude 12/1,"""Paleta sjenila u neutralnim tonovima, 12 × 1 g""",9.84,89,16,34
306,Olovka za obrve tamnosmeđa,"""Automatska olovka za obrve s češljićem, 0.2 g""",3.47,211,16,34
307,Lak za nokte klasični crveni,"""Lak za nokte brzog sušenja, 10 ml""",2.93,247,16,34
308,BB krema light 30ml,"""BB krema s hidratantnim učinkom SPF 20, 30 ml""",5.75,162,16,34
309,Sprej za fiksiranje make-up 100ml,"""Matirajući sprej za fiksiranje šminke, 100 ml""",6.11,134,16,34
310,Set četkica za šminku 10/1,"""Set od 10 sintetičkih četkica za make-up s torbicom""",11.26,72,16,34
311,Kofer kabinski tvrdi 55cm,"""ABS kofer zapremine 35 l, 55 × 36 × 22 cm""",47.89,54,17,35
312,Torba na rame putna 20l,"""Putna torba od platna s remenom, 20 l""",18.37,108,17,35
313,Ruksak trekking 45l,"""Planinarski ruksak 45 l s ventiliranim leđima""",59.68,61,17,35
314,Vreća za spavanje −5 °C,"""Topla vreća za spavanje komfor do −5 °C, 1.3 kg""",42.15,39,17,35
315,Putni jastuk na napuhavanje U,"""Putni jastuk U-oblika s pliš presvlakom""",5.26,192,17,35
316,Organizatori prtljage 6/1,"""Tkanine vrećice i mreže za pakiranje, 6 dijelova""",12.94,127,17,35
317,Brave TSA kombinacijske 2/1,"""Set od 2 TSA bravice s trocifrenom kombinacijom""",7.34,153,17,35
318,Putni higijenski set 8/1,"""Mini toaletni komplet (četkica, pasta, sapun…)""",3.89,236,17,35
319,Maska za spavanje mrežasta siva,"""Lagani sleep mask od mrežastog materijala""",2.47,218,17,35
320,Boca sklopiva silikon 600ml,"""Silikonska sklopiva boca s karabinom, 600 ml""",6.78,142,17,35
321,Pelene vel. 3 58/1,"""Jednokratne pelene (4-9 kg), 58 kom""",9.63,98,18,36
322,Vlažne maramice baby 72/1,"""Hipoalergene vlažne maramice bez parfema, 72 kom""",1.87,264,18,36
323,Bočica anti-kolik 260ml,"""Bočica s protukoličnim ventilom, 260 ml""",6.24,173,18,36
324,Duda silikon 0-6 m 2/1,"""Ortodontske dude silikon, 2 kom""",4.19,183,18,36
325,Krema za pelensko područje 100ml,"""Zaštitna krema sa cinkom i pantenolom""",3.78,156,18,36
326,Štapići za bebe 60/1,"""Higijenski pamučni štapići s ograničivačem, 60 kom""",0.92,219,18,36
327,Stolica za hranjenje sklopiva,"""Sklopiva stolica s pladnjem, podesiva visina""",59.43,28,18,36
328,Ogradica igraonica 120×120,"""Podstavljeno igralište s mrežom, 120 × 120 cm""",69.17,22,18,36
329,Zaštita utičnica 10/1,"""Sigurnosni čepovi za utičnice, 10 kom""",2.11,201,18,36
330,Kolica kišobran easy,"""Lagano sklopiva kolica „kišobran”, 5 kg""",86.74,17,18,36
331,Akvarel boje 24 pan,"""Set akvarel boja u 24 pločice + kist""",10.38,74,19,37
332,Platno na okviru 40×50 cm,"""Pamučno slikarsko platno na okviru 40 × 50 cm""",6.97,121,19,37
333,Kistovi okrugli set 5/1,"""Set od 5 okruglih kistova veličine 0-8""",3.15,165,19,37
334,Glina polimerna crvena 56g,"""Polimerna glina, 56 g, crvena""",2.46,144,19,37
335,Rezač papira rotacijski A4,"""Rotacijski rezač papira do A4, 10 listova""",17.86,51,19,37
336,Maketa avion Spitfire 1:72,"""Plastična maketa Spitfire, skala 1:72""",12.28,88,19,37
337,Pistolj za vruće ljepilo 20W,"""Mini pištolj 20 W + 2 patrone""",6.43,109,19,37
338,Perle staklene mix 200g,"""Staklene perle raznih boja, 200 g""",4.57,137,19,37
339,Žica bakrena 0.8 mm 10 m,"""Mekana bakrena žica Ø0.8 mm, 10 m""",2.83,172,19,37
340,Album scrapbooking 30×30 40l,"""Spiralni album 30 × 30 cm, 40 listova""",8.95,66,19,37
341,Termometar digitalni fleks,"""Digitalni termometar s fleksibilnim vrhom""",5.26,327,20,38
342,Tlakomjer ručni aneroidni,"""Aneroidni tlakomjer s manšetom i pumpicom""",18.72,200,20,38
343,Flaster vodootporni 20/1,"""Vodootporni flasteri raznih veličina, 20 kom""",1.17,311,20,38
344,Zavoj elastični 10 cm × 4 m,"""Elastični zavoj s kopčama""",2.64,361,20,38
345,Inhalator kompresorski,"""Kompresorski inhalator s maskama""",39.86,188,20,38
346,Ortopedski jastuk za vrat,"""Memory jastuk ergonomski, navlaka bambus""",22.73,62,20,38
347,Lumbalni pojas M,"""Potporni lumbalni pojas, veličina M""",17.32,78,20,38
348,Masažer ručni infracrveni,"""Ručni masažer s IR grijanjem i 3 nastavka""",29.57,182,20,38
349,Oksimetar pulsni prstni,"""Pulsni oksimetar s OLED zaslonom""",16.24,214,20,38
350,Čarape kompresivne L,"""Kompresivne dokoljenke klasa 1, veličina L""",8.41,154,20,38
351,Bušilica udarna 750W,"""Električna udarna bušilica snage 750 W, brzina 0–3000 o/min""",49.86,77,21,39
352,Brusilica kutna 125mm 900W,"""Kutna brusilica disk 125 mm, snaga 900 W, 11 000 o/min""",42.37,68,21,39
353,Ubodna pila 650W,"""Ubodna pila s laserskim pokazivačem, 650 W, dubina reza 80 mm""",46.21,55,21,39
354,Odvijač akumulatorski 12V,"""Akumulatorski odvijač 12 V, 2 × 1.5 Ah, okretni moment 28 Nm""",59.44,93,21,39
355,Klamerica električna 45W,"""Električna klamerica/spiker 45 W, 300 spajalica u kompletu""",29.78,112,21,39
356,Pila sabljasta 800W,"""Sabljasta pila 800 W, hod 28 mm, 0–2800 h/min""",64.87,47,21,39
357,Mjerač laser 30m,"""Laserski daljinomjer dometa 30 m, preciznost ± 2 mm""",38.92,130,21,39
358,Pištolj za vrući zrak 2000W,"""Termo puhalica 2000 W, 300 / 600 °C, 2 stupnja""",25.64,101,21,39
359,Kompresor klipni 24l,"""Zračni kompresor 24 l, 8 bar, motor 1.5 kW""",129.43,22,21,39
360,Usisavač za pepeo 1200W,"""Usisavač za hladni pepeo 1200 W, spremnik 18 l""",34.57,58,21,39
361,DSLR fotoaparat 24MP + 18-55,"""DSLR kamera 24 MP s objektivom 18–55 mm i Wi-Fi""",459.88,15,22,40
362,Objectiv 50mm f/1.8,"""Prime objektiv 50 mm f/1.8 sa zaštitnim poklopcem""",119.35,32,22,40
363,Stativ aluminijski 160cm,"""Aluminijski stativ visine do 160 cm, glava 3D""",34.26,64,22,40
364,Torba za fotoaparat S,"""Kompaktna torba za DSLR i jedan objektiv, veličina S""",18.47,80,22,40
365,Filter ND 67mm,"""Neutral-density filter ND8 Ø 67 mm""",12.78,110,22,40
366,LED panel svjetlo 5600K,"""LED video panel 5600 K, 480 LED, CRI 95+, dimabilan""",73.49,41,22,40
367,Mikrofon shotgun supercardioid,"""Puška mikrofon, supercardioid, +20 dB boost""",84.16,37,22,40
368,Kartica CFexpress 128GB,"""CFexpress memorijska kartica 128 GB, VPG 400""",139.72,23,22,40
369,Gimbal 3-osi za DSLR,"""Stabilizator 3 osi, nosivost 2.2 kg, OLED zaslon""",289.63,18,22,40
370,Bljeskalica TTL univerzalna,"""Speedlite s TTL i HSS 1/8000, GN 60""",94.28,50,22,40
371,Gitara akustična dreadnought,"""Akustična gitara Dreadnought, smreka/mahagonij""",119.87,44,23,41
372,Ukulele koncert mahagonij,"""Koncertni ukulele od mahagonija, menzura 382 mm""",42.59,71,23,41
373,Bubanj cajon birch,"""Peruanski cajon od breze s podesivim žicama""",87.32,28,23,41
374,Klavijatura MIDI 49 tipki,"""USB MIDI kontroler 49 tipki s aftertouchom""",152.18,36,23,41
375,Violina 4/4 set,"""Violina 4/4, gudalo, kolofonij i kofer u setu""",139.44,26,23,41
376,Harmonika klasična 80 bas,"""Harmonika 34 tipke, 80 basova, crna""",689.85,9,23,41
377,Truba Bb studentska,"""Studentska truba u Bb, monel ventili, futrola""",229.63,17,23,41
378,Bubnjarske palice hickory 5A,"""Palice od hikorija model 5A, lakirane""",8.27,151,23,41
379,Stalak za gitaru sklopivi,"""Sklopivi A-frame stalak za gitaru""",13.58,97,23,41
380,Metronom mehanički drveni,"""Piramidalni mehanički metronom, drveno kućište""",28.41,62,23,41
381,Pametna utičnica Wi-Fi,"""Wi-Fi utičnica s mjerenjem potrošnje, 16 A""",11.69,204,24,42
382,Pametni termostat Zigbee,"""Zigbee radijatorski termostat s LCD-om""",29.46,77,24,42
383,Senzor pokreta PIR smart,"""Wi-Fi PIR senzor, kut 120°, domet 7 m""",15.84,120,24,42
384,Kamera sigurnosna IP 1080p,"""Vanjska IP kamera 1080p, IP66, noćni vid 30 m""",39.72,85,24,42
385,Zvono pametno s kamerom,"""Video zvono 1080p, dvosmjerna komunikacija""",62.38,49,24,42
386,LED traka RGB pametna 5m,"""Pametna RGB LED traka 5 m, upravljanje aplikacijom""",21.46,134,24,42
387,Senzor curenja vode Wi-Fi,"""Wi-Fi senzor curenja vode s alarmom 90 dB""",17.28,96,24,42
388,Pametna roleta motor Wi-Fi,"""Motor za rolete do 15 kg s Wi-Fi upravljanjem""",74.83,25,24,42
389,Pametni IR hub univerzalni,"""Univerzalni IR/FW hub za klima uređaje""",24.57,112,24,42
390,Senzor temperature Bluetooth,"""Bluetooth senzor temp./vlage s e-ink zaslonom""",12.93,183,24,42
391,Konzola gaming 1TB,"""Konzola nove generacije, SSD 1 TB, 4K HDR""",469.84,21,25,43
392,Kontroler bežični crni,"""Bežični gamepad, vibracija, USB-C punjenje""",59.26,98,25,43
393,Igra PS5 'Ratnik',"""Akcijska avantura „Ratnik: Legenda” za PS5""",69.19,108,25,43
394,Igra Switch 'Kart Racer',"""Trkaća arkada „Kart Racer Turbo” za Switch""",49.37,74,25,43
395,Pretplata online 12m,"""12-mjesečna pretplata na mrežne usluge konzole""",44.82,152,25,43
396,Slušalice gaming konzola,"""Over-ear slušalice s mikrofonom za konzole""",39.67,61,25,43
397,Punjač kontrolera dual,"""Postolje za istovremeno punjenje 2 kontrolera""",24.58,125,25,43
398,Figurica kolekcionarska limit,"""Limited edition figurica 18 cm, numerirana""",29.84,44,25,43
399,Kod igra PC 'Strategija',"""Digitalni kod za PC igru „Galaktička Strategija”""",34.26,137,25,43
400,Volan racing konzola,"""Volan s pedalama, povratna sila, PS5/Xbox/PC""",189.75,33,25,43
401,Sat pametni GPS 1.43in,"""Pametni sat s AMOLED zaslonom 1,43 inča, GPS-om, 5 ATM, 14 dana baterije""",129.86,136,26,44
402,Narukvica fitness OLED,"""Fitness tracker s OLED zaslonom, mjerač pulsa i SpO₂, 10 dana rada""",29.74,289,26,44
403,Prsten pametni titan,"""Pametni prsten od titana, analiza sna i HRV-a, veličina 9""",199.45,67,26,44
404,Naočale audio Bluetooth,"""Audio naočale s otvorenim zvučnicima, Bluetooth 5.2""",79.32,121,26,44
405,Slušalice TWS ANC,"""True wireless slušalice s aktivnim poništavanjem buke, IPX4""",62.18,214,26,44
406,Narukvica dječja GPS SOS,"""Dječji smartband s GPS praćenjem i SOS tipkom, IP67""",43.57,172,26,44
407,Nakit sigurnosni SmartTag,"""Pametni privjesak s BLE locatorom i tipkom za hitne pozive""",18.96,244,26,44
408,Senzor koraka clip-on,"""Clip-on brojač koraka s BT sinkronizacijom i ekranom""",17.23,198,26,44
409,Pojas srčani monitor BT,"""Traka za mjerenje otkucaja srca Bluetooth, ANT+ kompatibilna""",39.48,155,26,44
410,Naočale AR dječje edu,"""AR naočale za edukativne igre, prikaz holograma 720p""",119.83,54,26,44
411,Printer laserski kolor MFP,"""Kolor laserski multifunkcijski pisač A4, Wi-Fi, 22 str./min""",279.65,38,27,45
412,Skener dokumenata duplex,"""Dokument skener A4, duplex 60 ipm, ADF 80 listova""",249.47,27,27,45
413,Laminator termalni A3,"""Laminator do A3, 2 valjka, 250 mikrona""",59.86,86,27,45
414,Uništavač papira cross-cut,"""Uništavač papira 10 listova, cross-cut 4 × 35 mm""",74.23,66,27,45
415,Uveznica spiralna električna,"""Električna spiralna uveznica do 500 listova, perforator""",119.37,31,27,45
416,Fax uređaj termalni,"""Termalni fax s automatskim odgovaranjem i memorijom 28 str.""",92.54,48,27,45
417,Projektor poslovni 4000 lm,"""LCD projektor 4000 lm, WXGA, HDMI + Wi-Fi""",398.85,23,27,45
418,Stalak monitor gas-lift,"""Gas-lift nosač monitora do 32 inča, VESA 100 × 100""",39.74,114,27,45
419,Shredder kartica CD,"""Uništavač kartica i CD-a, rez 5 × 25 mm, koš 18 l""",82.69,52,27,45
420,Kopirni stroj A3 mono,"""Digitalni kopirni uređaj A3, 25 str./min, RADF""",1399.48,7,27,45
421,Garnitura lounge ratan 5/1,"""Vanjska lounge garnitura od umjetnog ratana, 4 stolice + stol""",579.63,11,28,46
422,Stol vrtni alu 150×90,"""Aluminijski vrtni stol 150 × 90 cm, staklena ploča""",169.28,24,28,46
423,Stolica vrtna sklopiva tekstilen,"""Sklopiva vrtna stolica od aluminija i tekstilena""",42.17,89,28,46
424,Ležaljka alu mesh podesiva,"""Podesiva ležaljka, aluminijski okvir, mrežasto platno""",97.45,32,28,46
425,Suncobran bočni 3 m antracit,"""Bočni suncobran 3 m, UV50+ platno, ručno okretanje""",139.72,27,28,46
426,Paviljon vrtni 3×4 m waterproof,"""Paviljon 3 × 4 m, vodootporno platno 180 g/m²""",219.41,18,28,46
427,Hamak duo pamuk 200×150,"""Dvostruki hamak od pamuka 200 × 150 cm, nosivost 200 kg""",34.57,76,28,46
428,Jastuk za stolice 46×46 crni,"""Jastuk za vrtne stolice 46 × 46 cm, vezice, crni""",8.19,143,28,46
429,Roštilj ugljen vrtni barrel,"""Barrel roštilj na ugljen s termometrom, rešetka 53 cm""",117.86,41,28,46
430,Njihalica vrtna 3-sjed,"""Trodijelna vrtna ljuljačka s tendom, nosivost 240 kg""",189.55,14,28,46
431,Usisavač vertikalni 2u1 450 W,"""Bežični usisavač 2-u-1, motor 450 W, autonomija 40 min""",159.87,371,29,47
432,Parni čistač podni 1500 W,"""Parni mop 1500 W, spremnik 500 ml, zagrijavanje 30 s""",68.42,182,29,47
433,Aparat za pranje tepiha 1600 W,"""Injektor-ekstraktor 1600 W, spremnik 4 + 8 l""",228.34,174,29,47
434,Kolica za čišćenje duo 25 l,"""Profesionalna kolica s dvije kante 2 × 25 l i cjedilom""",98.73,117,29,47
435,Detergent podni ultra 5 l,"""Koncentrat za podove s mirisom bora, 5 l""",7.89,266,29,47
436,Sprej dezinfekcijski 750 ml,"""Sprej za dezinfekciju površina, alkoholni, 750 ml""",4.67,272,29,47
437,Krpe mikrovlakno roll 100/1,"""Rola od 100 jednokratnih mikrovlaknenih krpa 30 × 40 cm""",12.38,85,29,47
438,Metla industrijska PVC 60 cm,"""Industrijska metla PVC vlakna, širina 60 cm + drška""",9.41,253,29,47
439,Sušilica ruku HEPA 1800 W,"""Automatska sušilica ruku 1800 W, HEPA filter, 10 s""",119.28,212,29,47
440,Perač visokotlačni 140 bar,"""Električni visokotlačni perač 140 bar, 2100 W""",147.52,309,29,47
441,Solarni panel 410 W mono,"""Monokristalni solarni panel 410 W, učinkovitost 21,3 %""",189.63,33,30,48
442,Inverter hibrid 6 kW 48 V,"""Hibridni inverter 6 kW, MPPT 120 A, Wi-Fi modul""",749.28,12,30,48
443,Baterija LiFePO4 48 V 100 Ah,"""LiFePO₄ baterija 48 V, 100 Ah, 5000 ciklusa""",899.76,9,30,48
444,Regulator MPPT 80 A 150 V,"""MPPT solarni kontroler 80 A, ulaz do 150 V""",219.43,18,30,48
445,Konektor MC4 par,"""Komplet MC4 konektora muški + ženski, 1 par""",2.96,214,30,48
446,Kabel solarni 6 mm² crn 25 m,"""Solarni kabel 6 mm² crn, rola 25 m, UV otporan""",23.57,58,30,48
447,Reflektor solarni 3000 lm senzor,"""Solarni LED reflektor 3000 lm, PIR senzor, daljinski""",42.64,76,30,48
448,Tuš solarni vrtni 35 l,"""Vrtni solarni tuš kapaciteta 35 l, crni ABS""",119.48,21,30,48
449,Generator solarni prijenosni 500 Wh,"""Prijenosna solarna stanica 500 Wh, AC/DC/USB izlazi""",319.87,17,30,48
450,Montažni set krovni 30 mm,"""Krovni montažni set za panele 30 mm, inox vijci""",52.78,64,30,48
451,Grablje metalne 14 zuba,"""Metalne grablje s 14 zakrivljenih zuba, širina 35 cm""",5.87,132,11,25
452,Lopatica vrtna set 3/1,"""Set od 3 ručne lopatice različitih veličina, čelik + plastika""",7.12,98,11,25
453,Škare za grane teleskopske 3m,"""Teleskopske škare za grane do 3 m, oštrice SK5 čelik""",24.38,64,11,25
454,Rukavice nitril vrtne L,"""Nitrilne vrtne rukavice protiv probijanja, veličina L""",3.29,217,11,25
455,Sadilica lukovica čelična,"""Čelična sadilica za lukovice promjera 6 cm""",4.86,88,11,25
456,Košara za lišće sklopiva 120l,"""Sklopiva košara za vrtni otpad, zapremine 120 l""",9.47,76,11,25
457,Kolica ručna dvosmjerna 120kg,"""Preklopna vrtna kolica, nosivost 120 kg""",42.73,39,11,25
458,Crpka ručna vrtna 7l,"""Ručna tlačna prskalica 7 l, maksimalni tlak 3 bar""",13.26,140,11,25
459,Termometar tla i vlage 2u1,"""Digitalni mjerač temperature i vlage tla, sonda 20 cm""",11.58,122,11,25
460,Gnojivo univerzalno 1kg,"""Granulirano NPK gnojivo za vrtne i sobne biljke, 1 kg""",2.84,253,11,25
461,Aparat za palačinke 1000W,"""Električni pekač promjera 30 cm, neprianjajuća ploča""",29.64,55,12,27
462,Sokovnik centrifugalni 800W,"""Centrifugalni sokovnik inox, otvor 75 mm, 800 W""",46.22,48,12,27
463,Friteza hot-air 3.5 l 1500W,"""„Air-fryer” 3.5 l, raspon 80–200 °C, 1500 W""",73.15,67,12,27
464,Kuhalo sporo 4.7 l 240W,"""Slow-cooker keramička posuda 4.7 l, 3 programa""",39.28,42,12,27
465,Vakumirka 120W + vrećice,"""Vakuum sealer 120 W, uključuje 10 vrećica 20×30 cm""",34.87,96,12,27
466,Aparat za jogurt 1.2 l,"""Stolni aparat za 7 staklenki jogurta, ukupno 1.2 l""",27.49,73,12,27
467,Mlinac za kavu 200W inox,"""Električni mlinac 200 W, spremnik 75 g, nož od inoxa""",18.36,142,12,27
468,Kuhalo za rižu 1 l 400W,"""Auto-kuhalo za rižu 1 l, funkcija toplog držanja""",25.79,88,12,27
469,Aparat za popcorn 1200W,"""Aparat za kokice na vrući zrak, bez ulja, 1200 W""",24.14,101,12,27
470,Aparat sous-vide štap 1000W,"""Sous-vide cirkulator 1000 W, raspon 20–95 °C""",52.68,60,12,27
471,Knjiga 'Zločin i kazna',"""F. Dostojevski, tvrdi uvez, 656 str.""",11.89,85,13,29
472,Knjiga 'Lovac u žitu',"""J. D. Salinger, meki uvez, 208 str.""",7.46,138,13,29
473,Knjiga 'Harry Potter i Kamen mudraca',"""J. K. Rowling, meki uvez, 336 str.""",9.28,172,13,29
474,Gospodar prstenova: Družina Prstena,"""J. R. R. Tolkien, tvrdi uvez, 576 str.""",12.95,91,13,29
475,Priručnik 'Montessori kod kuće',"""Aktivnosti po Montessori metodi, 304 str.""",14.26,67,13,29
476,Kratka povijest gotovo svega,"""Bill Bryson, meki uvez, 592 str.""",11.78,59,13,29
477,Leksikon mitova i legendi,"""Ilustrirani leksikon svjetskih mitova, 512 str.""",18.34,42,13,29
478,Rječnik eng-hrv 2025,"""Englesko-hrvatski rječnik, 45 000 natuknica""",16.57,105,13,29
479,Strip 'Asterix Gal',"""Goscinny & Uderzo, tvrdi uvez, 48 str.""",5.92,128,13,29
480,Slikovnica 'Ježeva kućica',"""Branko Ćopić, tvrdi uvez, 32 str.""",4.11,149,13,29
481,Suknja pencil crna M,"""Ženska pencil suknja do koljena, veličina M""",18.24,64,14,31
482,Košulja lanena muška L,"""100 % lan, dugi rukav, veličina L""",29.37,73,14,31
483,Jakna puffer ženska S,"""Vodoodbojna puffer jakna, veličina S""",64.56,52,14,31
484,Tenisice sportske br. 40,"""Sportske tenisice mesh gornjište, broj 40""",49.21,112,14,31
485,Torba crossbody kožna smeđa,"""Kožna torbica 22×18 cm, smeđa""",38.47,78,14,31
486,Pojas kožni 110 cm crni,"""Kožni pojas 110 cm, klasična kopča""",12.83,97,14,31
487,Čizme gumene br. 38,"""Ženske gumene čizme za kišu, broj 38""",22.94,84,14,31
488,Šal vuneni karirani,"""Šal od 100 % vune, 180×30 cm, karirani uzorak""",17.68,109,14,31
489,Rukavice kožne muške L,"""Muške kožne rukavice, postava flis, veličina L""",26.39,66,14,31
490,Čarape termo merino 2/1,"""Dva para merino termo čarapa 41-44""",9.42,142,14,31
491,Ormar za cipele 60×120,"""Ormarić za obuću 4 preklopna vrata, 60×120×24 cm""",109.82,28,15,33
492,Radni stol 140×60 bijeli,"""Radni stol MDF bijeli, metalne noge, 140×60×75 cm""",135.64,25,15,33
493,Regal za knjige 5 polica,"""Samostojeći regal 190×70 cm, sonoma hrast""",89.37,41,15,33
494,Stolić noćni okrugli Ø40,"""Noćni stolić Ø 40 cm, metalni okvir + drvena ploča""",56.48,57,15,33
495,Vitrina staklena 2 vrata,"""LED vitrina visina 180 cm, staklo + MDF""",259.74,16,15,33
496,Komoda TV 160 cm hrast,"""TV komoda hrast artisan, dužina 160 cm""",142.83,22,15,33
497,Barska stolica crna metalna,"""Barska stolica, metalni okvir, sjedalo eko-koža""",58.27,68,15,33
498,Klizna vrata set 210 cm,"""Set bijelih kliznih vrata 210×90 cm + okov""",189.64,19,15,33
499,Krevetić dijete 120×60,"""Drveni krevetić, podesiva podnica, 120×60 cm""",149.73,27,15,33
500,Tepih vuneni 160×230,"""Ručni rad, 100 % vuna, 160×230 cm, krem boja""",184.29,14,15,33
